"ID","Journal","Year","All_Data","All_Code","Partial_Code","Appendix","Dryad","Zenodo","Figshare","OSF","Org_Database","Github","Other_Database","Other_Paper","Missing_Appendix","Missing_Broken_Link","Missing_Components","Database_Not_Enough_Info","Model_Code_Only"
21,"BIOLOGICAL CONSERVATION",2022,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,"BIOLOGICAL CONSERVATION",2022,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"BIOLOGICAL CONSERVATION",2019,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,"BIOLOGICAL CONSERVATION",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"BIOLOGICAL CONSERVATION",2021,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,"BIOLOGICAL CONSERVATION",2019,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,"BIOLOGICAL CONSERVATION",2022,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"BIOLOGICAL CONSERVATION",2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"BIOLOGICAL CONSERVATION",2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"BIOLOGICAL CONSERVATION",2020,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"BIOLOGICAL CONSERVATION",2020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"BIOLOGICAL CONSERVATION",2021,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
45,"BIOLOGICAL CONSERVATION",2022,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,"BIOLOGICAL CONSERVATION",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
48,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"BIOLOGICAL CONSERVATION",2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BIOLOGICAL CONSERVATION",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"BIOLOGICAL CONSERVATION",2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"BIOLOGICAL CONSERVATION",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
53,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,"BIOLOGICAL CONSERVATION",2021,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"BIOLOGICAL CONSERVATION",2019,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"BIOLOGICAL CONSERVATION",2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,"BIOLOGICAL CONSERVATION",2020,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
60,"BIOLOGICAL CONSERVATION",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"BIOLOGICAL CONSERVATION",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
63,"BIOLOGICAL CONSERVATION",2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,"BIOLOGICAL CONSERVATION",2020,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
68,"BIOLOGICAL CONSERVATION",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"CONSERVATION BIOLOGY",2019,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
71,"CONSERVATION BIOLOGY",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
72,"CONSERVATION BIOLOGY",2021,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73,"CONSERVATION BIOLOGY",2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"CONSERVATION BIOLOGY",2021,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"CONSERVATION BIOLOGY",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"CONSERVATION BIOLOGY",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"CONSERVATION BIOLOGY",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"CONSERVATION BIOLOGY",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"CONSERVATION BIOLOGY",2022,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
80,"CONSERVATION BIOLOGY",2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"CONSERVATION BIOLOGY",2019,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
82,"CONSERVATION BIOLOGY",2022,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,"CONSERVATION BIOLOGY",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"CONSERVATION BIOLOGY",2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"CONSERVATION BIOLOGY",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"CONSERVATION BIOLOGY",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"CONSERVATION BIOLOGY",2022,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
88,"CONSERVATION BIOLOGY",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
89,"CONSERVATION BIOLOGY",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"CONSERVATION BIOLOGY",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"CONSERVATION BIOLOGY",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
92,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
94,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
95,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,"ECOLOGY AND EVOLUTION",2021,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
97,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,"ECOLOGY AND EVOLUTION",2021,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,"ECOLOGY AND EVOLUTION",2019,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
101,"ECOLOGY AND EVOLUTION",2021,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102,"ECOLOGY AND EVOLUTION",2021,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
103,"ECOLOGY AND EVOLUTION",2022,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"ECOLOGY AND EVOLUTION",2022,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
105,"ECOLOGY AND EVOLUTION",2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,"ECOLOGY AND EVOLUTION",2021,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,"ECOLOGY AND EVOLUTION",2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,"ECOLOGY AND EVOLUTION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"ECOLOGY AND EVOLUTION",2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
112,"ECOLOGY AND EVOLUTION",2022,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"ECOLOGY AND EVOLUTION",2022,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
114,"ECOLOGY AND EVOLUTION",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
117,"ECOLOGY AND EVOLUTION",2018,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,"ECOLOGY AND EVOLUTION",2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,"ECOLOGY AND EVOLUTION",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"ECOLOGY AND EVOLUTION",2022,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"ECOLOGY AND EVOLUTION",2021,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
123,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,"ECOLOGY AND EVOLUTION",2021,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,"ECOLOGY AND EVOLUTION",2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
127,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,"ECOLOGY AND EVOLUTION",2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,"ECOLOGY AND EVOLUTION",2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,"ECOLOGY AND EVOLUTION",2020,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,"ECOLOGY AND EVOLUTION",2021,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
132,"ECOLOGY AND EVOLUTION",2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,"ECOLOGY AND EVOLUTION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"ECOLOGY AND EVOLUTION",2020,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
135,"ECOLOGY AND EVOLUTION",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
136,"ECOLOGY AND EVOLUTION",2020,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,"ECOLOGY AND EVOLUTION",2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,"ECOLOGY AND EVOLUTION",2021,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,"ECOLOGY AND EVOLUTION",2020,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,"ECOLOGY AND EVOLUTION",2021,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,"ECOLOGY AND EVOLUTION",2022,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
143,"ECOLOGY AND EVOLUTION",2021,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
146,"ECOLOGY AND EVOLUTION",2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
147,"ECOLOGY AND EVOLUTION",2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,"ECOLOGY AND EVOLUTION",2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,"ECOLOGY AND EVOLUTION",2019,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
150,"ECOLOGY AND EVOLUTION",2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,"ECOLOGY AND EVOLUTION",2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"ECOLOGY AND EVOLUTION",2018,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,"ECOLOGY AND EVOLUTION",2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,"ECOLOGY AND EVOLUTION",2021,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,"ECOLOGY AND EVOLUTION",2020,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
157,"ECOLOGY AND EVOLUTION",2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,"ECOLOGY AND EVOLUTION",2020,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,"ECOLOGY AND EVOLUTION",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
160,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
161,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
162,"ECOLOGY AND EVOLUTION",2018,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
163,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,"ECOLOGY AND EVOLUTION",2020,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,"ECOLOGY AND EVOLUTION",2019,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,"ECOLOGY AND EVOLUTION",2022,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,"ECOLOGY",2021,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,"ECOLOGY",2019,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
169,"ECOLOGY",2022,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,"ECOLOGY",2022,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,"ECOLOGY",2018,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
172,"ECOLOGY",2022,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,"ECOLOGY",2022,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174,"ECOLOGY",2022,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,"ECOLOGY",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
176,"ECOLOGY",2019,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,"ECOLOGY",2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
178,"ECOLOGY",2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"ECOLOGY",2018,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,"ECOLOGY",2019,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
181,"ECOLOGY",2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"ECOLOGY",2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"ECOLOGY",2022,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
184,"ECOLOGY",2020,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
185,"ECOLOGY",2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
186,"ECOLOGY",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,"ECOLOGY",2021,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
188,"ECOLOGY",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,"ECOLOGY",2019,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,"ECOLOGY",2021,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,"ECOLOGY",2022,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
192,"ECOLOGY",2021,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,"ECOLOGY",2022,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
194,"ECOLOGY",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"ECOLOGY",2020,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,"ECOLOGY",2022,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
197,"ECOLOGY",2018,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
198,"ECOLOGY",2020,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
199,"ECOLOGY",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"ECOLOGY",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,"ECOLOGY",2022,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
202,"ECOLOGY",2022,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
203,"ECOLOGY",2021,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,"ECOLOGY",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"ECOLOGY",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"ECOLOGY",2021,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
207,"ECOSPHERE",2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"ECOSPHERE",2021,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
209,"ECOSPHERE",2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210,"ECOSPHERE",2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211,"ECOSPHERE",2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"ECOSPHERE",2022,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
213,"ECOSPHERE",2022,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,"ECOSPHERE",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,"ECOSPHERE",2021,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
216,"ECOSPHERE",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,"ECOSPHERE",2022,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
218,"ECOSPHERE",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,"ECOSPHERE",2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
220,"ECOSPHERE",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,"ECOSPHERE",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"ECOSPHERE",2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223,"ECOSPHERE",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,"ECOSPHERE",2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
225,"ECOSPHERE",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
226,"ECOSPHERE",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,"ECOSPHERE",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
228,"ECOSPHERE",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,"ECOSPHERE",2021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,"ECOSPHERE",2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231,"ECOSPHERE",2019,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
232,"ECOSPHERE",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"ECOSPHERE",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"ECOSPHERE",2022,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,"ECOSPHERE",2018,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
236,"ECOSPHERE",2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
237,"ECOSPHERE",2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"ECOSPHERE",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,"ECOSPHERE",2021,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,"ECOSPHERE",2021,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
241,"ECOSPHERE",2018,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"ECOSPHERE",2021,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
243,"ECOSPHERE",2018,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,"ECOSPHERE",2018,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,"ECOSPHERE",2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
246,"ECOSPHERE",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
247,"ECOSPHERE",2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
248,"ECOSPHERE",2021,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,"ECOSPHERE",2021,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
250,"ECOSPHERE",2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,"ECOSPHERE",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,"ECOSPHERE",2021,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
253,"ECOSPHERE",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,"ECOSPHERE",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,"ECOSPHERE",2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
